ICD10,number
C8393,2193
C8394,2194
upper,2195
C8395,2196
and,2197
C8396,2198
C8397,2199
C8398,2200
C8399,2201
C8400,2202
C8401,2203
C8402,2204
C8403,2205
C8404,2206
C8405,2207
limb,2208
C8406,2209
C8407,2210
C8408,2211
C8409,2212
C8410,2213
C8411,2214
C8412,2215
C8413,2216
C8414,2217
C8415,2218
limb,2219
C8416,2220
C8417,2221
C8418,2222
C8419,2223
C8440,2224
C8441,2225
"face,",2226
C8442,2227
C8443,2228
C8444,2229
and,2230
C8445,2231
region,2232
C8446,2233
C8447,2234
C8448,2235
sites,2236
C8449,2237
sites,2238
C8460,2239
C8461,2240
"face,",2241
C8462,2242
C8463,2243
C8464,2244
and,2245
C8465,2246
region,2247
C8466,2248
C8467,2249
C8468,2250
sites,2251
C8469,2252
sites,2253
C8470,2254
C8471,2255
"face,",2256
C8472,2257
C8473,2258
C8474,2259
and,2260
C8475,2261
region,2262
C8476,2263
C8477,2264
C8478,2265
sites,2266
C8479,2267
sites,2268
C847A,2269
C84A0,2270
C84A1,2271
and,2272
C84A2,2273
C84A3,2274
C84A4,2275
upper,2276
C84A5,2277
and,2278
C84A6,2279
C84A7,2280
C84A8,2281
C84A9,2282
C84Z0,2283
C84Z1,2284
and,2285
C84Z2,2286
C84Z3,2287
C84Z4,2288
upper,2289
